k_index,k_fractional,energy_eV,spectral_weight_per_eV
0,-0.3750000000,-25.9087012430,1.1312345593e-03
0,-0.3750000000,-25.8786969567,9.7102331612e-04
0,-0.3750000000,-25.8486926704,8.4500705124e-04
0,-0.3750000000,-25.8186883841,7.4832752482e-04
0,-0.3750000000,-25.7886840977,6.7603235887e-04
0,-0.3750000000,-25.7586798114,6.2406185836e-04
0,-0.3750000000,-25.7286755251,5.8948163049e-04
0,-0.3750000000,-25.6986712387,5.7033914325e-04
0,-0.3750000000,-25.6686669524,5.6524219582e-04
0,-0.3750000000,-25.6386626661,5.7253285265e-04
0,-0.3750000000,-25.6086583798,5.8888672987e-04
0,-0.3750000000,-25.5786540934,6.0774162567e-04
0,-0.3750000000,-25.5486498071,6.1951582781e-04
0,-0.3750000000,-25.5186455208,6.1595948650e-04
0,-0.3750000000,-25.4886412345,5.9593769350e-04
0,-0.3750000000,-25.4586369481,5.6549981357e-04
0,-0.3750000000,-25.4286326618,5.3252727521e-04
0,-0.3750000000,-25.3986283755,5.0288401698e-04
0,-0.3750000000,-25.3686240892,4.7992149686e-04
0,-0.3750000000,-25.3386198028,4.6518260536e-04
0,-0.3750000000,-25.3086155165,4.5898313301e-04
0,-0.3750000000,-25.2786112302,4.6052390439e-04
0,-0.3750000000,-25.2486069438,4.6759581323e-04
0,-0.3750000000,-25.2186026575,4.7596170534e-04
0,-0.3750000000,-25.1885983712,4.7939039604e-04
0,-0.3750000000,-25.1585940849,4.7236559067e-04
0,-0.3750000000,-25.1285897985,4.5432522522e-04
0,-0.3750000000,-25.0985855122,4.3016055580e-04
0,-0.3750000000,-25.0685812259,4.0620012027e-04
0,-0.3750000000,-25.0385769396,3.8680241938e-04
0,-0.3750000000,-25.0085726532,3.7392463021e-04
0,-0.3750000000,-24.9785683669,3.6812893229e-04
0,-0.3750000000,-24.9485640806,3.6953476181e-04
0,-0.3750000000,-24.9185597943,3.7835699740e-04
0,-0.3750000000,-24.8885555079,3.9513539426e-04
0,-0.3750000000,-24.8585512216,4.2076026757e-04
0,-0.3750000000,-24.8285469353,4.5626563030e-04
0,-0.3750000000,-24.7985426489,5.0219373127e-04
0,-0.3750000000,-24.7685383626,5.5722567513e-04
0,-0.3750000000,-24.7385340763,6.1612470032e-04
0,-0.3750000000,-24.7085297900,6.6856357216e-04
0,-0.3750000000,-24.6785255036,7.0207875014e-04
0,-0.3750000000,-24.6485212173,7.0910249313e-04
0,-0.3750000000,-24.6185169310,6.9095299069e-04
0,-0.3750000000,-24.5885126447,6.5528654917e-04
0,-0.3750000000,-24.5585083583,6.1221582113e-04
0,-0.3750000000,-24.5285040720,5.7132434919e-04
0,-0.3750000000,-24.4984997857,5.3926347953e-04
0,-0.3750000000,-24.4684954994,5.1928093833e-04
0,-0.3750000000,-24.4384912130,5.1245426018e-04
