k_index,k1,k2,k3,k_distance_inv_ang,label,energy_eV,spectral_weight_per_eV
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.9339339339,2.4606189639e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.8738738739,2.4965456671e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.8138138138,2.5332772879e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.7537537538,2.5708381505e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.6936936937,2.6092535159e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.6336336336,2.6485496259e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.5735735736,2.6887537494e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.5135135135,2.7298942316e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.4534534535,2.7720005453e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.3933933934,2.8151033460e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.3333333333,2.8592345297e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.2732732733,2.9044272942e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.2132132132,2.9507162042e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.1531531532,2.9981372599e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.0930930931,3.0467279702e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.0330330330,3.0965274302e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.9729729730,3.1475764030e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.9129129129,3.1999174076e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.8528528529,3.2535948112e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.7927927928,3.3086549282e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.7327327327,3.3651461252e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.6726726727,3.4231189329e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.6126126126,3.4826261653e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.5525525526,3.5437230467e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.4924924925,3.6064673477e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.4324324324,3.6709195298e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.3723723724,3.7371429003e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.3123123123,3.8052037784e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.2522522523,3.8751716719e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.1921921922,3.9471194676e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.1321321321,4.0211236352e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.0720720721,4.0972644458e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-12.0120120120,4.1756262069e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.9519519520,4.2562975151e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.8918918919,4.3393715282e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.8318318318,4.4249462585e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-11.7717717718,4.5131248885e-03
